FIPS,County,State,Cases - last 7 days per 100k,% total pop fully vaccinated,Vaccination county reporting completeness,bivairate_colorCode,vaxRate_colorCode,caseRate_colorCode
18133,Putnam County,IN,569.51,36.6,98.5,#A52948,#BDDFD6,#CD334C
18135,Randolph County,IN,445.98,37.3,98.5,#AA778E,#BDDFD6,#D47A91
18137,Ripley County,IN,628.44,40,98.5,#6E1E45,#8FD3C2,#CD334C
18139,Rush County,IN,856.4,40.7,98.5,#6E1E45,#8FD3C2,#CD334C
18141,St. Joseph County,IN,261.93,50.9,98.5,#5AACA4,#65C7A6,#DCB2BD
18143,Scott County,IN,749.8,38.3,98.5,#A52948,#BDDFD6,#CD334C
18145,Shelby County,IN,561.16,49.1,98.5,#2C1843,#65C7A6,#CD334C
18147,Spencer County,IN,577.01,38.2,98.5,#A52948,#BDDFD6,#CD334C
18149,Starke County,IN,287.02,31.5,98.5,#DCB2BD,#E6E6E6,#DCB2BD
18151,Steuben County,IN,349.77,41.9,98.5,#85B0BC,#8FD3C2,#DCB2BD
18153,Sullivan County,IN,662.83,41.3,98.5,#6E1E45,#8FD3C2,#CD334C
18155,Switzerland County,IN,688.31,26.5,98.5,#CD334C,#E6E6E6,#CD334C
18157,Tippecanoe County,IN,231.95,50.7,98.5,#5AACA4,#65C7A6,#DCB2BD
18159,Tipton County,IN,323.48,39.5,98.5,#B2B0BC,#BDDFD6,#DCB2BD
18161,Union County,IN,482,39,98.5,#AA778E,#BDDFD6,#D47A91
18163,Vanderburgh County,IN,546.15,50,98.5,#2C1843,#65C7A6,#CD334C
18165,Vermillion County,IN,516.2,39.5,98.5,#AA778E,#BDDFD6,#D47A91
18167,Vigo County,IN,519.44,43.1,98.5,#797691,#8FD3C2,#D47A91
18169,Wabash County,IN,574.27,36.6,98.5,#A52948,#BDDFD6,#CD334C
18171,Warren County,IN,520.27,39,98.5,#AA778E,#BDDFD6,#D47A91
18173,Warrick County,IN,607.96,54.8,98.5,#2C1843,#65C7A6,#CD334C
18175,Washington County,IN,481.52,34.5,98.5,#AA778E,#BDDFD6,#D47A91
18177,Wayne County,IN,693.64,40.9,98.5,#6E1E45,#8FD3C2,#CD334C
18179,Wells County,IN,438.22,36.6,98.5,#AA778E,#BDDFD6,#D47A91
18181,White County,IN,323.62,47.6,98.5,#85B0BC,#8FD3C2,#DCB2BD
18183,Whitley County,IN,421.03,41.8,98.5,#797691,#8FD3C2,#D47A91
19001,Adair County,IA,139.82,42.8,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19003,,,359,40,,#797691,#8FD3C2,#D47A91
19005,Allamakee County,IA,255.72,45.7,97.5,#85B0BC,#8FD3C2,#DCB2BD
19007,Appanoose County,IA,418.48,40.2,97.5,#797691,#8FD3C2,#D47A91
19009,,,359,40,,#797691,#8FD3C2,#D47A91
19011,Benton County,IA,343.15,50,97.5,#5AACA4,#65C7A6,#DCB2BD
19013,Black Hawk County,IA,225.56,51.2,97.5,#5AACA4,#65C7A6,#DCB2BD
19015,Boone County,IA,202.03,55.7,97.5,#65C7A6,#65C7A6,#E6E6E6
19017,Bremer County,IA,195.52,52,97.5,#65C7A6,#65C7A6,#E6E6E6
19019,Buchanan County,IA,188.9,46.6,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19021,Buena Vista County,IA,366.97,54.2,97.5,#42728B,#65C7A6,#D47A91
19023,Butler County,IA,117.74,50.9,97.5,#65C7A6,#65C7A6,#E6E6E6
19025,Calhoun County,IA,693.01,51.7,97.5,#2C1843,#65C7A6,#CD334C
19027,Carroll County,IA,277.71,54.3,97.5,#5AACA4,#65C7A6,#DCB2BD
19029,Cass County,IA,148.02,51.3,97.5,#65C7A6,#65C7A6,#E6E6E6
19031,Cedar County,IA,230.85,52.6,97.5,#5AACA4,#65C7A6,#DCB2BD
19033,Cerro Gordo County,IA,214.37,54.4,97.5,#65C7A6,#65C7A6,#E6E6E6
19035,Cherokee County,IA,275.92,46.5,97.5,#85B0BC,#8FD3C2,#DCB2BD
19037,Chickasaw County,IA,134.08,47,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19039,Clarke County,IA,542.84,46.2,97.5,#797691,#8FD3C2,#D47A91
19041,Clay County,IA,499.5,45.5,97.5,#797691,#8FD3C2,#D47A91
19043,Clayton County,IA,245.03,42.7,97.5,#85B0BC,#8FD3C2,#DCB2BD
19045,Clinton County,IA,217.54,46.7,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19047,Crawford County,IA,445.9,45.7,97.5,#797691,#8FD3C2,#D47A91
19049,Dallas County,IA,210.8,55.5,97.5,#65C7A6,#65C7A6,#E6E6E6
19051,Davis County,IA,277.78,31.7,97.5,#DCB2BD,#E6E6E6,#DCB2BD
19053,Decatur County,IA,127.06,35.1,97.5,#BDDFD6,#BDDFD6,#E6E6E6
19055,Delaware County,IA,141.09,46.5,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19057,Des Moines County,IA,546.62,43.5,97.5,#6E1E45,#8FD3C2,#CD334C
19059,Dickinson County,IA,249.16,51.5,97.5,#5AACA4,#65C7A6,#DCB2BD
19061,Dubuque County,IA,153.12,56.4,97.5,#65C7A6,#65C7A6,#E6E6E6
19063,Emmet County,IA,249.78,44,97.5,#85B0BC,#8FD3C2,#DCB2BD
19065,Fayette County,IA,193.38,47.2,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19067,Floyd County,IA,179.01,46.5,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19069,Franklin County,IA,178.75,46,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19071,Fremont County,IA,272.99,44.5,97.5,#85B0BC,#8FD3C2,#DCB2BD
19073,Greene County,IA,438.79,50.1,97.5,#42728B,#65C7A6,#D47A91
19075,Grundy County,IA,351.54,53.9,97.5,#5AACA4,#65C7A6,#DCB2BD
19077,Guthrie County,IA,261.95,51.5,97.5,#5AACA4,#65C7A6,#DCB2BD
19079,Hamilton County,IA,250.46,54.1,97.5,#5AACA4,#65C7A6,#DCB2BD
19081,Hancock County,IA,235.18,43,97.5,#85B0BC,#8FD3C2,#DCB2BD
19083,Hardin County,IA,385.85,48.4,97.5,#42728B,#65C7A6,#D47A91
19085,Harrison County,IA,170.83,44.6,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19087,Henry County,IA,255.59,46.3,97.5,#85B0BC,#8FD3C2,#DCB2BD
19089,Howard County,IA,218.39,44.6,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19091,Humboldt County,IA,345.26,43,97.5,#85B0BC,#8FD3C2,#DCB2BD
19093,Ida County,IA,349.85,42.3,97.5,#85B0BC,#8FD3C2,#DCB2BD
19095,Iowa County,IA,234.8,54.9,97.5,#5AACA4,#65C7A6,#DCB2BD
19097,Jackson County,IA,174.91,46.4,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19099,Jasper County,IA,352.29,50.2,97.5,#5AACA4,#65C7A6,#DCB2BD
19101,Jefferson County,IA,284.23,41.8,97.5,#85B0BC,#8FD3C2,#DCB2BD
19103,Johnson County,IA,222.97,63,97.5,#5AACA4,#65C7A6,#DCB2BD
19105,Jones County,IA,246.6,51.8,97.5,#5AACA4,#65C7A6,#DCB2BD
19107,Keokuk County,IA,283.04,40.5,97.5,#85B0BC,#8FD3C2,#DCB2BD
19109,Kossuth County,IA,297.04,46.3,97.5,#85B0BC,#8FD3C2,#DCB2BD
19111,Lee County,IA,612.06,43.8,97.5,#6E1E45,#8FD3C2,#CD334C
19113,Linn County,IA,342.29,57.2,97.5,#5AACA4,#65C7A6,#DCB2BD
19115,Louisa County,IA,425.92,44.4,97.5,#797691,#8FD3C2,#D47A91
19117,Lucas County,IA,500,39.5,97.5,#AA778E,#BDDFD6,#D47A91
19119,Lyon County,IA,229.69,35.2,97.5,#B2B0BC,#BDDFD6,#DCB2BD
19121,Madison County,IA,195.86,46.5,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19123,Mahaska County,IA,343.97,37.2,97.5,#B2B0BC,#BDDFD6,#DCB2BD
19125,Marion County,IA,390.94,45.3,97.5,#797691,#8FD3C2,#D47A91
19127,Marshall County,IA,332.75,54.5,97.5,#5AACA4,#65C7A6,#DCB2BD
19129,Mills County,IA,152.23,47.1,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19131,Mitchell County,IA,283.39,42.6,97.5,#85B0BC,#8FD3C2,#DCB2BD
19133,,,359,40,,#797691,#8FD3C2,#D47A91
19135,Monroe County,IA,428.18,40.2,97.5,#797691,#8FD3C2,#D47A91
19137,Montgomery County,IA,413.43,48.4,97.5,#42728B,#65C7A6,#D47A91
19139,Muscatine County,IA,443,51.6,97.5,#42728B,#65C7A6,#D47A91
19141,,,359,40,,#797691,#8FD3C2,#D47A91
19143,Osceola County,IA,167.84,40.2,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19145,Page County,IA,344.21,45.9,97.5,#85B0BC,#8FD3C2,#DCB2BD
19147,Palo Alto County,IA,450.15,44,97.5,#797691,#8FD3C2,#D47A91
19149,Plymouth County,IA,190.65,44.9,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19151,Pocahontas County,IA,438.13,45.9,97.5,#797691,#8FD3C2,#D47A91
19153,Polk County,IA,313.16,56.5,97.5,#5AACA4,#65C7A6,#DCB2BD
19155,Pottawattamie County,IA,258.57,48.3,97.5,#5AACA4,#65C7A6,#DCB2BD
19157,Poweshiek County,IA,199.96,50.7,97.5,#65C7A6,#65C7A6,#E6E6E6
19159,,,359,40,,#797691,#8FD3C2,#D47A91
19161,Sac County,IA,277.75,45.5,97.5,#85B0BC,#8FD3C2,#DCB2BD
19163,Scott County,IA,201.8,50.7,97.5,#65C7A6,#65C7A6,#E6E6E6
19165,Shelby County,IA,401.61,52.1,97.5,#42728B,#65C7A6,#D47A91
19167,Sioux County,IA,117.63,35.7,97.5,#BDDFD6,#BDDFD6,#E6E6E6
19169,Story County,IA,151.36,54.4,97.5,#65C7A6,#65C7A6,#E6E6E6
19171,Tama County,IA,320.4,53.6,97.5,#5AACA4,#65C7A6,#DCB2BD
19173,,,359,40,,#797691,#8FD3C2,#D47A91
19175,Union County,IA,163.39,44.1,97.5,#8FD3C2,#8FD3C2,#E6E6E6
19177,Van Buren County,IA,255.54,35.8,97.5,#B2B0BC,#BDDFD6,#DCB2BD
19179,Wapello County,IA,294.55,41.8,97.5,#85B0BC,#8FD3C2,#DCB2BD
19181,Warren County,IA,369.18,50.8,97.5,#42728B,#65C7A6,#D47A91
19183,Washington County,IA,523.56,49.5,97.5,#42728B,#65C7A6,#D47A91
19185,Wayne County,IA,263.93,35.9,97.5,#B2B0BC,#BDDFD6,#DCB2BD
19187,Webster County,IA,403.85,49.3,97.5,#42728B,#65C7A6,#D47A91
19189,Winnebago County,IA,309.06,45.7,97.5,#85B0BC,#8FD3C2,#DCB2BD
19191,Winneshiek County,IA,135.06,54.1,97.5,#65C7A6,#65C7A6,#E6E6E6
19193,Woodbury County,IA,258.95,46.7,97.5,#85B0BC,#8FD3C2,#DCB2BD
19195,,,359,40,,#797691,#8FD3C2,#D47A91
19197,Wright County,IA,310.46,49.7,97.5,#5AACA4,#65C7A6,#DCB2BD
20001,Allen County,KS,460.83,37.4,93.6,#AA778E,#BDDFD6,#D47A91
20003,Anderson County,KS,318.15,36,93.6,#B2B0BC,#BDDFD6,#DCB2BD
20005,Atchison County,KS,416.85,37.2,93.6,#AA778E,#BDDFD6,#D47A91
20007,Barber County,KS,248.48,39.8,93.6,#85B0BC,#8FD3C2,#DCB2BD
20009,Barton County,KS,589.63,35.6,93.6,#A52948,#BDDFD6,#CD334C
20011,Bourbon County,KS,344.02,31.4,93.6,#DCB2BD,#E6E6E6,#DCB2BD
20013,Brown County,KS,261.4,50.1,93.6,#5AACA4,#65C7A6,#DCB2BD
20015,Butler County,KS,544.01,38.7,93.6,#A52948,#BDDFD6,#CD334C
20017,,,359,40,,#797691,#8FD3C2,#D47A91
20019,Chautauqua County,KS,861.54,35.5,93.6,#A52948,#BDDFD6,#CD334C
20021,Cherokee County,KS,240.73,38.5,93.6,#B2B0BC,#BDDFD6,#DCB2BD
20023,Cheyenne County,KS,526.91,38.4,93.6,#AA778E,#BDDFD6,#D47A91
20025,Clark County,KS,702.11,40.2,93.6,#6E1E45,#8FD3C2,#CD334C
20027,Clay County,KS,712.32,48.3,93.6,#2C1843,#65C7A6,#CD334C
20029,Cloud County,KS,250.4,39.5,93.6,#B2B0BC,#BDDFD6,#DCB2BD
20031,Coffey County,KS,745.81,43,93.6,#6E1E45,#8FD3C2,#CD334C
20033,,,359,40,,#797691,#8FD3C2,#D47A91
20035,Cowley County,KS,403.92,39.6,93.6,#AA778E,#BDDFD6,#D47A91
20037,Crawford County,KS,306.56,40.4,93.6,#85B0BC,#8FD3C2,#DCB2BD
20039,,,359,40,,#797691,#8FD3C2,#D47A91
20041,Dickinson County,KS,449.47,44.3,93.6,#797691,#8FD3C2,#D47A91
20043,Doniphan County,KS,250,38.3,93.6,#B2B0BC,#BDDFD6,#DCB2BD
20045,Douglas County,KS,244.56,52.5,93.6,#5AACA4,#65C7A6,#DCB2BD
